,meal,Calcium,Calories,Carbohydrates,Fat,Iron,Niacin Vitamin B3,Protein,Riboflavin Vitamin B2,Thiamine Vitamin B1,Vitamin A RAE,Quantity,type,veg/non-veg
0,Masala Dosa,39,208,39.5,4.2,1.1,2,3,0.02,0.19,3,Amount per 1,m,
1,Aloo Methi,404,221,24.7,11,2.5,1.8,5.8,0.32,0.12,197,Amount per 1 Bowl,s,
2,Apple Kheer,245,244,35.4,8.5,0.8,0.2,6.5,0.38,0.1,1,Amount per 1 Bowl,d,
3,Arhar with Spinach,58,159,18.7,5.9,1.4,1.1,7.7,0.19,0.5,236,Amount per 1 Curry Bowl,s,
4,Baingan Bhartha,55,192,10.4,15.5,0.9,1.6,2.8,0.19,0.12,18,Amount per 1 Small Bowl,s,
5,Baked Egg,25,124,0,10.8,0.7,0.1,6.7,0.2,0.05,38,Amount per 1 Egg,m,eg
6,Baked Stuffed Fish,742,418,17.5,14.9,6.6,1.3,53.5,0.11,0.9,38,Amount per 1 Bowl,m,nv
7,Banana Milk Shake,223,228,33.8,7.5,0.5,0.4,6.2,0.37,0.11,3,Amount per 1 Tall Glass,j,
8,Banana Raita,158,118,16.6,4.1,0.4,0.4,3.7,0.2,0.08,6,Amount per 1 Bowl,si,
9,Bathua Bhujia,236,152,7.8,10.7,6.8,1,6,0.22,0.04,218,Amount per 1 Bowl,s,
10,Beans and Macaroni,243,352,38,16.8,2.2,1.5,12.1,0.2,0.2,56,Amount per 1 Plate,b,
11,Beans Foogath,68,195,9,16.4,1.1,0.5,2.9,0.09,0.12,13,Amount per 1 Small Bowl,s,
12,Beetroot and Egg Salad,62,366,13.4,30.8,2.1,0.6,8.9,0.29,0.12,25,Amount per 1 Small Bowl,b,eg
13,Bengal Fish Curry,731,296,16.3,17.5,1.7,1.1,18.4,0.11,0.14,2,Amount per 1 Bowl,s,nv
14,Besan Burfi,14,266,30,13.9,1.3,0.6,5.3,0.05,0.12,24,Amount per 2 Pcs.,d,
15,Besan Gatte Curry,255,497,34,30.6,2.9,1.4,21.3,0.22,0.34,31,Amount per 1 Bowl,s,
16,Besan Kadhi with Pakories,140,408,24.1,30.2,2.2,1,9.9,0.19,0.21,6,Amount per 1 Bowl,s,
17,Besan Laddoo,15,286,28.7,16.4,1.4,0.7,5.8,0.05,0.13,28,Amount per 2 Pcs.,d,
18,Besan Poories,35,380,54.6,13,3.6,2.7,11.2,0.12,0.32,5,Amount per 4 OR 5,n,
19,Bhatura,52,297,30,17,2.4,0.2,6,0.14,0.12,7,Amount per 1 Piece,n,
20,Bhindi Sabji,93,189,11,15,0.7,0.8,2.6,0.12,0.11,5,Amount per 1 Bowl,s,
21,Black Channa Pulao,82,464,82.1,10.2,4,4.1,10.9,0.17,0.28,4,Amount per 1 full plate,n,
22,Boiled Egg,25,87,0,6.7,0.7,0.1,6.7,0.2,0.05,25,Amount per 1 Egg,b,eg
23,Boiled Rice,8,277,61.4,0.8,2.6,3.1,6,0.13,0.17,0,Amount per 1 full plate,n,
24,Boti Kabab,232,365,5,27.8,3.6,8.3,23.6,0.22,0.24,1,Amount per 1 Bowl,m,nv
25,Bread and Butter Pudding,124,222,22.7,11.3,0.7,0.2,7.4,0.27,0.08,26,Amount per 1 Small Plate,b,
26,Bread Pakoras,28,489,60.5,22.2,2.5,1.7,11.8,0.06,0.24,4,Amount per 5 Pcs.,b,
27,Cabbage Kofta Curry,85,297,21,21,2.1,1.1,5.9,0.14,0.2,18,Amount per 1 Bowl,s,
28,Cabbage Rolls (Dry),162,316,13.8,23,1,0.6,13.5,0.07,0.11,6,Amount per 1 Bowl,b,
29,Carrot Halva,443,472,54.5,24.5,1.6,1,8.3,0.3,0.14,261,Amount per 1 Small Bowl,d,
30,Carrot Kheer,280,218,29,8.3,0.9,0.5,6.9,0.38,0.12,80,Amount per 1 Bowl,d,
31,Carrot Raita,280,218,29,8.3,0.9,0.5,6.9,0.38,0.12,80,Amount per 1 Bowl,si,
32,"Cauliflower, Peas and Potato (Aalu) Sabji",49,196,20.7,10.3,1.6,1.4,5.1,0.07,0.21,12,Amount per 1 Bowl,s,
33,Channa Dal And Vegetable Pulao,102,529,94.3,10.1,5.3,4.6,15.1,0.19,0.47,85,Amount per 1 full plate,n,
34,Channa Dal with Ghia,27,117,19.1,1.7,1.8,0.8,6.3,0.06,0.16,3,Amount per 1 Curry Bowl,s,
35,Chapatties (Rotiyan),38,273,55.5,1.4,3.9,3.4,9.7,0.14,0.39,2,Amount per 3 OR 4,n,
36,Cheese and Mushroom Omelette,182,308,3,27.1,1.3,1.5,12.9,0.42,0.09,65,Amount per 1 Egg,b,eg
37,Cheese Open,196,340,31.5,18.6,1.1,1.5,11.7,0.11,0.14,27,Amount per 2 Pcs.,b,
38,Cheese Soup,22,78,4.4,6.5,0.3,0.2,0.5,0,0.03,37,Amount per 1 Bowl,j,
39,Chenna Murkhi,110,275,35.6,10.6,0,0,9.3,0.02,0.06,16,Amount per 10 Pcs.,d,
40,Chicken and Corn Open Sandwiches,110,275,35.6,10.6,0,0,9.3,0.02,0.06,16,Amount per 10 Pcs.,b,nv
41,Chicken Chowmein,104,542,49.6,24.2,5.6,8.1,31.4,0.36,0.39,1,Amount per 1 Shallow dish,b,nv
42,Chicken Korma,188,493,13.2,36.4,3.2,10.2,28.1,0.32,0.23,8,Amount per 1 Bowl,m,nv
43,Chicken Pakoras,29,451,18.7,31.8,3,7.2,22.6,0.18,0.23,0,Amount per 5 Pcs.,b,nv
44,Chicken Pulao,110,661,68.7,30.5,4.6,11.4,27.9,0.34,0.33,7,Amount per 1 full plate,n,nv
45,Chicken Sweet and Sour,39,420,3.1,33.3,2.7,10.6,27,0.35,0.28,23,Amount per 1 Bowl,j,nv
46,Chicken Sweet Corn Soup,23,322,24.6,13.5,2.6,8.6,25.5,0.34,0.21,9,Amount per 1 Bowl,j,nv
47,Chilli Chicken,46,464,8.8,35.5,3.1,10.9,27.3,0.31,0.35,19,Amount per 1 Bowl,m,nv
48,Chirwa Cutlets,41,325,50.4,10.7,9.1,2.2,6.8,0.03,0.19,49,Amount per 2 Pcs.,b,
49,Chocochip Ice Cream,90,288,18.2,22.9,0.2,0.1,2.3,0.14,0.03,35,Amount per 1 Ice Cream Cup,d,
50,Chocolate Cream Cake,9,223,23.2,13.1,0.5,0.3,3.1,0.06,0.03,44,Amount per 1 Pc.,d,
51,Chocolate Ice Cream,90,288,18.2,22.9,0.2,0.1,2.3,0.14,0.03,35,Amount per 1 Ice Cream Cup,d,
52,Chocolate Pastry,19,228,23.3,12.5,0.7,0.3,5.5,0.14,0.05,30,Amount per 1 Pastry,d,
53,Choconut Ice Cream,106,460,40.8,30.5,1,0.4,5.5,0.18,0.1,34,Amount per 1 Sunde Glass,d,
54,Coconut Barfi,578,472,41.9,28.6,2,1,11.7,0.21,0.14,21,Amount per 2 Pcs.,d,
56,Cold Chocolate Souffle,57,536,30.6,42.7,0.7,0.1,7.3,0.2,0.06,83,Amount per 1 Souffle Dish,d,
57,Cold Coffee (With Cream),144,279,27.7,17,0.3,0.1,3.9,0.23,0.06,41,Amount per 1 Tall Glass,j,
58,Cold Lemon Souffle,41,534,32.3,41.9,0.8,0.1,6.9,0.2,0.05,83,Amount per 1 Souffle Dish,j,
59,Cold Pineapple Souffle,25,525,30,42,0.7,0.1,6.7,0.2,0,83,Amount per 1 Souffle Dish,j,
60,Cold Vanilla Souffle,57,536,30.6,42.7,0.7,0.1,7.3,0.2,0.06,83,Amount per 1 Souffle Dish,j,
61,Conflakes with Milk,290,291,38.7,10.8,0.9,0.6,9.8,0.48,1.28,13,Amount per 1 Bowl,b,
62,Cracked Wheat Porridge (Dalia Kheer),296,292,39.7,10.4,1.5,1.3,10,0.49,1.29,13,Amount per 1 Bowl,b,
63,Cream of Carrot Soup,172,250,21.5,16.2,1.4,0.9,4.6,0.17,0.17,161,Amount per 1 Bowl,j,
64,Cream of mix vegetable Soup,179,263,28,13.4,2,1.5,7.5,0.24,0.33,97,Amount per 1 Bowl,j,
65,Cream of Mushroom Soup,136,308,19.9,22.4,1.5,2.9,6.6,0.41,0.13,46,Amount per 1 Bowl,j,
66,Cream of Pea (Mutter) Soup,132,342,32.2,18.2,2.4,1.4,12.4,0.17,0.44,49,Amount per 1 Bowl,j,
67,Cream of Potato (Aalu) Soup,118,282,35.7,13.1,1.1,1.6,5.4,0.17,0.24,35,Amount per 1 Bowl,j,
68,Cream of Spinach Soup,200,307,16,23.2,2.2,0.9,8.5,0.52,0.2,518,Amount per 1 Bowl,j,
69,Cream of Tomato Soup,180,245,18.5,16.6,1.5,1,5.4,0.25,0.32,82,Amount per 1 Bowl,j,
70,Creamed Spinach,458,429,18.8,29.8,3.5,1.4,21.4,1,0.25,984,Amount per 1 Small Bowl,m,
71,Creamed Spinach and Mushrooms,366,363,19.2,25.8,2.9,3.5,13.4,0.9,0.23,724,Amount per 1 Bowl,m,
72,Crispy Baked Fish,461,390,31.2,15.1,4.1,1.3,32.3,0.13,0.13,41,Amount per 1 Bowl,m,nv
73,Cucumber and Yogurt Salad,53,29,2.9,1.3,0.5,0.2,1.3,0.05,0.04,1,Amount per 1Small Plate,si,
74,Cucumber Raita,155,68,4.5,4.1,0.6,0.2,3.3,0.16,0.07,3,Amount per 1 Bowl,si,
75,Curd Rice,253,484,77.8,12.5,3.8,3.7,15.1,0.41,0.33,6,Amount per 1 full plate,b,
76,Dahi Aloo,119,260,33.4,12.2,1,1.8,4.2,0.12,0.22,14,Amount per 1 Bowl,b,
77,Dal Moong,23,104,17.9,0.4,1.2,0.7,7.3,0.06,0.14,1,Amount per 1 Curry Bowl,s,
78,Dal Paratha,65,665,75.6,33.1,5.6,4.2,16.2,0.19,0.55,5,Amount per 3 MEDIUM,n,
79,Dal Stuffed Poories,5,427,66.3,12.3,3.6,3,12.8,0.13,0.31,4,Amount per 4 OR 5,n,
80,Danish Luncheon Sandwiches,42,350,31.9,17.5,2.1,1.2,16.2,0.22,0.24,52,Amount per 2 Pcs.,b,
81,Devilled Eggs,62,61,2.4,2.1,1.3,0.3,8.1,0.27,0.14,50,Amount per 1 Egg,b,eg
82,Dry Arbi (Fried),62,254,25.6,15.2,0.9,0.6,3.6,0.04,0.14,7,Amount per 1 Bowl,s,
