,items,type,veg/non-veg,Calcium,Calories,Carbohydrates,Carotene Vitamin A,Chlorine,Choline,Chromium,Copper,Fat,Fibre,Folic Acid Free,Iron,Magnesium,Manganese,Molybdenum,Niacin B3,Phosphorus,Potassium,Protein,Pyridoxin B6,Riboflavin B2,Sodium,Sulphur,ThiamineB1,Vitamin C,Water,Zink,Vitamin A RAE,Quantity
0,Seb (Apple),f,,10,59,13.4,0,1,321,0.01,0.1,0.5,1,0,0.66,7,0.14,0,0,14,75,0.2,0,0,28,7,0,1,84.6,0.06,0,Amount per 100 g. of edible portion
1,Aalu (Potato),,,10,97,22.6,24,16,100,0.01,0.16,0.1,0.4,3,0.5,30,0.13,0.07,1.2,40,247,1.6,0,0.01,11,37,0.1,17,74.7,0.53,2,Amount per 100 g. of edible portion
2,Aam (Mango),f,,14,74,60.9,2743,3,0,0.01,0.11,0.4,0.7,0,1.3,270,0.13,0,0.9,16,205,0.6,0,0.09,26,17,0.08,16,81,0.27,229,Amount per 100 g. of edible portion
3,Akrod (Walnut),f,,100,687,11,6,0,0,0.1,1.67,64.5,2.6,0,2.6,302,2.62,0,1,380,0,15.6,0,0.4,0,0,0.45,0,4.5,2.32,1,Amount per 100 g. of edible portion
4,Alsee (Flax) Seeds,f,,170,530,28.9,30,0,0,0,0,37.1,4.8,0,2.7,0,0,0,1,370,0,20.3,0,0.07,0,0,0.23,0,6.5,0,3,Amount per 100 g. of edible portion
5,Alubukhara (Plum),f,,10,52,11.1,166,0,0,0,0.13,0.5,0.4,0,0.6,147,0,0,0.3,12,247,0.7,0,0.1,0.8,33,0.04,5,86.9,0,14,Amount per 100 g. of edible portion
6,Amla (Indian Gooseberry),f,,50,58,13.7,9,0,256,0,0,0.1,3.4,0,1.2,0,0,0,0.2,20,225,0.5,0,0.01,5,0,0.03,600,81.8,0,1,Amount per 100 g. of edible portion
7,Anaar (Pomegranate),f,,10,65,14.5,0,2,0,0.02,0.34,0.1,5,0,1.8,44,0.77,0,0.3,70,133,1.6,0,0.1,0.9,12,0.06,16,78,0.82,0,Amount per 100 g. of edible portion
8,Ananas (Pineapple),f,,20,46,10.8,18,13,8,0.01,0.13,0.1,0.5,0,2.4,33,0.56,0,0.1,9,37,0.4,0,0.12,34.7,20,0.2,39,87.8,0.11,2,Amount per 100 g. of edible portion
9,Anda (Egg) (Hen),,,60,173,0,420,0,0,0,0,13.3,0,70,2.1,0,0,0,0.1,220,0,13.3,0,0.4,0,0,0.1,0,73.7,0,35,Amount per 100 g. of edible portion
